序号-时间	进程名	进程ID	动作	路径	参数	结果	
1-11:03:50.6858309	NTLite.exe	10012	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\wow64_microsoft-windows-w..oyment-languagepack_31bf3856ad364e35_zh-cn_cb79455815edcee2\10.0\	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\wow64_microsoft-windows-w..oyment-languagepack_31bf3856ad364e35_zh-cn_cb79455815edcee2\10.0 	0x00000000 [操作成功完成。  ]	
2-11:03:50.6858309	NTLite.exe	10012	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\wow64_microsoft-windows-w..oyment-languagepack_31bf3856ad364e35_zh-cn_cb79455815edcee2\10.0\10.0.20348.1	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\wow64_microsoft-windows-w..oyment-languagepack_31bf3856ad364e35_zh-cn_cb79455815edcee2\10.0 	0x00000000 [操作成功完成。  ]	
3-11:03:50.6868349	NTLite.exe	10012	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\wow64_microsoft-windows-w..od-wow64-deployment_31bf3856ad364e35_none_ff78d67abed14c2a\10.0\	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\wow64_microsoft-windows-w..od-wow64-deployment_31bf3856ad364e35_none_ff78d67abed14c2a\10.0 	0x00000000 [操作成功完成。  ]	
4-11:03:50.6868349	NTLite.exe	10012	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\wow64_microsoft-windows-w..od-wow64-deployment_31bf3856ad364e35_none_ff78d67abed14c2a\10.0\10.0.20348.1	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\wow64_microsoft-windows-w..od-wow64-deployment_31bf3856ad364e35_none_ff78d67abed14c2a\10.0 	0x00000000 [操作成功完成。  ]	
5-11:03:50.6886265	NTLite.exe	10012	FILE_remove	D:\TEMP\MOUNTED\NLTmpMnt\Program Files (x86)\Windows NT\Accessories\zh-CN\wordpad.exe.mui	-	0x00000000 [操作成功完成。  ]	
6-11:03:50.6886265	NTLite.exe	10012	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\wow64_microsoft-windows-wordpad.resources_31bf3856ad364e35_zh-cn_051cd5a7fbc4ee17\10.0\	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\wow64_microsoft-windows-wordpad.resources_31bf3856ad364e35_zh-cn_051cd5a7fbc4ee17\10.0 	0x00000000 [操作成功完成。  ]	
7-11:03:50.6886265	NTLite.exe	10012	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\wow64_microsoft-windows-wordpad.resources_31bf3856ad364e35_zh-cn_051cd5a7fbc4ee17\10.0\10.0.20348.1	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Winners\wow64_microsoft-windows-wordpad.resources_31bf3856ad364e35_zh-cn_051cd5a7fbc4ee17\10.0 	0x00000000 [操作成功完成。  ]	
8-11:03:50.6946275	NTLite.exe	10012	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Applets\Wordpad\Capabilities\ApplicationDescription	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Applets\Wordpad\Capabilities 	0x00000000 [操作成功完成。  ]	
9-11:03:50.6946275	NTLite.exe	10012	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Applets\Wordpad\Capabilities\ApplicationName	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Applets\Wordpad\Capabilities 	0x00000000 [操作成功完成。  ]	
10-11:03:50.6946275	NTLite.exe	10012	REG_rmval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Applets\Wordpad\Capabilities\FileAssociations\.rtf	keyname:HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Applets\Wordpad\Capabilities\FileAssociations 	0x00000000 [操作成功完成。  ]	
