序号-时间	进程名	进程ID	动作	路径	参数	结果	
1-15:42:55.0970226	NTLite.exe	12456	REG_setval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\Component Based Servicing\DisableWerReporting	type:0x00000004 datalen:0x00000004 data:'00000010: 01 00 00 00 ' 	0x00000000 [操作成功完成。  ]	
2-15:42:55.7070360	NTLite.exe	12456	FILE_truncate	D:\TEMP\MOUNTED\NLTmpMnt\Windows\System32\config\SOFTWARE.LOG1	eof:0x002DC000 	0x00000000 [操作成功完成。  ]	
3-15:42:55.7181182	NTLite.exe	12456	FILE_truncate	D:\TEMP\MOUNTED\NLTmpMnt\Windows\System32\config\COMPONENTS.LOG1	eof:0x00D2E000 	0x00000000 [操作成功完成。  ]	
4-15:42:55.7990903	NTLite.exe	12456	FILE_truncate	D:\TEMP\MOUNTED\NLTmpMnt\Windows\System32\config\COMPONENTS.LOG1	eof:0x00D2E000 	0x00000000 [操作成功完成。  ]	
5-15:42:55.7990903	NTLite.exe	12456	FILE_truncate	D:\TEMP\MOUNTED\NLTmpMnt\Windows\System32\config\SOFTWARE.LOG1	eof:0x002DC000 	0x00000000 [操作成功完成。  ]	
6-15:42:55.8010357	NTLite.exe	12456	FILE_truncate	D:\TEMP\MOUNTED\NTLite.log	eof:0x000024DB 	0x00000000 [操作成功完成。  ]	
7-15:42:57.2000883	NTLite.exe	12456	REG_setval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~COMPONENTS\DisableWerReporting	type:0x00000004 datalen:0x00000004 data:'00000010: 01 00 00 00 ' 	0x00000000 [操作成功完成。  ]	
8-15:42:57.2000883	NTLite.exe	12456	REG_setval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Configuration\CBSLogCompress	type:0x00000004 datalen:0x00000004 data:'00000010: 01 00 00 00 ' 	0x00000000 [操作成功完成。  ]	
9-15:42:57.2000883	NTLite.exe	12456	REG_setval	HKEY_LOCAL_MACHINE\NLTmp~a7188fdc~SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\Configuration\NumCBSPersistLogs	type:0x00000004 datalen:0x00000004 data:'00000010: 01 00 00 00 ' 	0x00000000 [操作成功完成。  ]	
10-15:42:57.2051069	NTLite.exe	12456	FILE_remove	C:\Users\Nick\AppData\Roaming\Microsoft\Crypto\RSA\S-1-5-21-4286531955-748388805-1929946093-1001\c6d010e82392216311e3dad96d6d8568_77befafd-df74-4b66-920a-b6c7ab5f102a	-	0x00000000 [操作成功完成。  ]	
